Sample in Buffer,Sample in Window,TRIGGER,design_1_i/AD7960_0_data_rd_rdy_o,design_1_i/AD7960_0_data_o[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
245,245,0,0,20e10
246,246,0,0,3ffff
247,247,0,0,3ffff
248,248,0,0,3ffff
249,249,0,0,3ffff
250,250,0,0,3ffff
251,251,0,0,3ffff
252,252,0,0,3ffff
253,253,0,0,3ffff
254,254,0,0,3ffff
255,255,0,0,3ffff
256,256,0,0,3ffff
257,257,0,0,3ffff
258,258,0,0,3ffff
259,259,0,0,3ffff
260,260,0,0,3ffff
261,261,0,0,3ffff
262,262,0,0,3ffff
263,263,0,0,3ffff
264,264,0,0,3ffff
265,265,0,0,3fffe
266,266,0,0,3fffd
267,267,0,0,3fffd
268,268,0,0,3fffb
269,269,0,0,3fff7
270,270,0,0,3ffee
271,271,0,0,3ffed
272,272,0,0,3ffdd
273,273,0,0,3ffbb
274,274,0,0,3ff76
275,275,0,0,3feec
276,276,0,0,3ffe8
277,277,0,0,3fdd8
278,278,0,0,3fbb0
279,279,0,0,3f760
280,280,0,0,3eec1
281,281,0,0,3ff82
282,282,0,0,3dd82
283,283,0,0,3bb05
284,284,0,0,3760b
285,285,0,0,2ec17
286,286,0,0,3f81e
287,287,0,0,1d82e
288,288,0,0,1d82e
289,289,0,0,1d82e
290,290,0,0,1d82e
291,291,0,0,1d82e
292,292,0,0,1d82e
293,293,0,0,1d82e
294,294,0,0,1d82e
295,295,0,0,1d82e
296,296,0,0,1d82e
297,297,0,0,1d82e
298,298,0,0,1d82e
299,299,0,0,1d82e
300,300,0,0,1d82e
301,301,0,0,1d82e
302,302,0,0,1d82e
303,303,0,0,1d82e
304,304,0,0,1d82e
305,305,0,0,1d82e
306,306,0,0,1d82e
307,307,0,0,1d82e
308,308,0,0,1d82e
309,309,0,0,1d82e
310,310,0,0,1d82e
311,311,0,0,1d82e
312,312,0,0,1d82e
313,313,0,1,1d82e
314,314,0,1,1d82e
315,315,0,1,1d82e
316,316,0,1,1d82e
317,317,0,0,1d82e
318,318,0,0,1d82e
319,319,0,0,1d82e
320,320,0,0,1d82e
321,321,0,0,3ffff
322,322,0,0,3ffff
323,323,0,0,3ffff
324,324,0,0,3ffff
325,325,0,0,3ffff
326,326,0,0,3ffff
327,327,0,0,3ffff
328,328,0,0,3ffff
329,329,0,0,3ffff
330,330,0,0,3ffff
331,331,0,0,3ffff
332,332,0,0,3ffff
333,333,0,0,3ffff
334,334,0,0,3ffff
335,335,0,0,3ffff
336,336,0,0,3ffff
337,337,0,0,3ffff
338,338,0,0,3ffff
339,339,0,0,3ffff
340,340,0,0,3fffe
341,341,0,0,3fffd
342,342,0,0,3fffd
343,343,0,0,3fffb
344,344,0,0,3fff7
345,345,0,0,3ffef
346,346,0,0,3ffee
347,347,0,0,3ffde
348,348,0,0,3ffbc
349,349,0,0,3ff79
350,350,0,0,3fef3
351,351,0,0,3fff6
352,352,0,0,3fde6
353,353,0,0,3fbcc
354,354,0,0,3f798
355,355,0,0,3ef31
356,356,0,0,3fe72
357,357,0,0,3de62
358,358,0,0,3bcc5
359,359,0,0,3798b
360,360,0,0,2f316
361,361,0,0,3e21d
362,362,0,0,1e62d
363,363,0,0,1e62d
364,364,0,0,1e62d
365,365,0,0,1e62d
366,366,0,0,1e62d
367,367,0,0,1e62d
368,368,0,0,1e62d
369,369,0,0,1e62d
370,370,0,0,1e62d
371,371,0,0,1e62d
372,372,0,0,1e62d
373,373,0,0,1e62d
374,374,0,0,1e62d
375,375,0,0,1e62d
376,376,0,0,1e62d
377,377,0,0,1e62d
378,378,0,0,1e62d
379,379,0,0,1e62d
380,380,0,0,1e62d
381,381,0,0,1e62d
382,382,0,0,1e62d
383,383,0,0,1e62d
384,384,0,0,1e62d
385,385,0,0,1e62d
386,386,0,0,1e62d
387,387,0,0,1e62d
388,388,0,1,1e62d
389,389,0,1,1e62d
390,390,0,1,1e62d
391,391,0,1,1e62d
392,392,0,0,1e62d
393,393,0,0,1e62d
394,394,0,0,1e62d
395,395,0,0,1e62d
396,396,0,0,3ffff
397,397,0,0,3ffff
398,398,0,0,3ffff
399,399,0,0,3ffff
400,400,0,0,3ffff
401,401,0,0,3ffff
402,402,0,0,3ffff
403,403,0,0,3ffff
404,404,0,0,3ffff
405,405,0,0,3ffff
406,406,0,0,3ffff
407,407,0,0,3ffff
408,408,0,0,3ffff
409,409,0,0,3ffff
410,410,0,0,3ffff
411,411,0,0,3ffff
412,412,0,0,3ffff
413,413,0,0,3ffff
414,414,0,0,3ffff
415,415,0,0,3ffff
416,416,0,0,3ffff
417,417,0,0,3ffff
418,418,0,0,3fffe
419,419,0,0,3fffc
420,420,0,0,3fff8
421,421,0,0,3fff0
422,422,0,0,3fff0
423,423,0,0,3ffe0
424,424,0,0,3ffc0
425,425,0,0,3ff81
426,426,0,0,3ff03
427,427,0,0,3ff03
428,428,0,0,3fe07
429,429,0,0,3fc0f
430,430,0,0,3f81f
431,431,0,0,3f01f
432,432,0,0,3f03f
433,433,0,0,3e07e
434,434,0,0,3c0fd
435,435,0,0,381fb
436,436,0,0,381f6
437,437,0,0,303f6
438,438,0,0,303f6
439,439,0,0,303f6
440,440,0,0,303f6
441,441,0,0,303f6
442,442,0,0,303f6
443,443,0,0,303f6
444,444,0,0,303f6
445,445,0,0,303f6
446,446,0,0,303f6
447,447,0,0,303f6
448,448,0,0,303f6
449,449,0,0,303f6
450,450,0,0,303f6
451,451,0,0,303f6
452,452,0,0,303f6
453,453,0,0,303f6
454,454,0,0,303f6
455,455,0,0,303f6
456,456,0,0,303f6
457,457,0,0,303f6
458,458,0,0,303f6
459,459,0,0,303f6
460,460,0,0,303f6
461,461,0,0,303f6
462,462,0,0,303f6
463,463,0,1,303f6
464,464,0,1,303f6
465,465,0,1,303f6
466,466,0,1,303f6
467,467,0,0,303f6
468,468,0,0,303f6
469,469,0,0,303f6
470,470,0,0,303f6
471,471,0,0,3ffff
472,472,0,0,3ffff
473,473,0,0,3ffff
474,474,0,0,3ffff
475,475,0,0,3ffff
476,476,0,0,3ffff
477,477,0,0,3ffff
478,478,0,0,3ffff
479,479,0,0,3ffff
480,480,0,0,3ffff
481,481,0,0,3ffff
482,482,0,0,3ffff
483,483,0,0,3ffff
484,484,0,0,3ffff
485,485,0,0,3ffff
486,486,0,0,3ffff
487,487,0,0,3ffff
488,488,0,0,3ffff
489,489,0,0,3ffff
490,490,0,0,3fffe
491,491,0,0,3fffd
492,492,0,0,3fffd
493,493,0,0,3fffb
494,494,0,0,3fff7
495,495,0,0,3ffee
496,496,0,0,3ffed
497,497,0,0,3ffdd
498,498,0,0,3ffbb
499,499,0,0,3ff77
500,500,0,0,3feef
501,501,0,0,3ffee
502,502,0,0,3fdde
503,503,0,0,3fbbd
504,504,0,0,3f77b
505,505,0,0,3eef6
506,506,0,0,3fffd
507,507,0,0,3dded
508,508,0,0,3bbda
509,509,0,0,377b4
510,510,0,0,2ef68
511,511,0,0,3fee1
512,512,1,0,1ded1
513,513,0,0,1ded1
514,514,0,0,1ded1
515,515,0,0,1ded1
516,516,0,0,1ded1
517,517,0,0,1ded1
518,518,0,0,1ded1
519,519,0,0,1ded1
520,520,0,0,1ded1
521,521,0,0,1ded1
522,522,0,0,1ded1
523,523,0,0,1ded1
524,524,0,0,1ded1
525,525,0,0,1ded1
526,526,0,0,1ded1
527,527,0,0,1ded1
528,528,0,0,1ded1
529,529,0,0,1ded1
530,530,0,0,1ded1
531,531,0,0,1ded1
532,532,0,0,1ded1
533,533,0,0,1ded1
534,534,0,0,1ded1
535,535,0,0,1ded1
536,536,0,0,1ded1
537,537,0,0,1ded1
538,538,0,1,1ded1
539,539,0,1,1ded1
540,540,0,1,1ded1
541,541,0,1,1ded1
542,542,0,0,1ded1
543,543,0,0,1ded1
544,544,0,0,1ded1
545,545,0,0,1ded1
546,546,0,0,3ffff
547,547,0,0,3ffff
548,548,0,0,3ffff
549,549,0,0,3ffff
550,550,0,0,3ffff
551,551,0,0,3ffff
552,552,0,0,3ffff
553,553,0,0,3ffff
554,554,0,0,3ffff
555,555,0,0,3ffff
556,556,0,0,3ffff
557,557,0,0,3ffff
558,558,0,0,3ffff
559,559,0,0,3ffff
560,560,0,0,3ffff
561,561,0,0,3ffff
562,562,0,0,3ffff
563,563,0,0,3ffff
564,564,0,0,3ffff
565,565,0,0,3fffe
566,566,0,0,3fffd
567,567,0,0,3fffd
568,568,0,0,3fffb
569,569,0,0,3fff7
570,570,0,0,3ffef
571,571,0,0,3ffef
572,572,0,0,3ffdf
573,573,0,0,3ffbe
574,574,0,0,3ff7d
575,575,0,0,3fefb
576,576,0,0,3ffff
577,577,0,0,3fdf7
578,578,0,0,3fbef
579,579,0,0,3f7de
580,580,0,0,3efbd
581,581,0,0,3ff7b
582,582,0,0,3df7b
583,583,0,0,3bef7
584,584,0,0,37def
585,585,0,0,2fbde
586,586,0,0,3f39d
587,587,0,0,1f7bd
588,588,0,0,1f7bd
589,589,0,0,1f7bd
590,590,0,0,1f7bd
591,591,0,0,1f7bd
592,592,0,0,1f7bd
593,593,0,0,1f7bd
594,594,0,0,1f7bd
595,595,0,0,1f7bd
596,596,0,0,1f7bd
597,597,0,0,1f7bd
598,598,0,0,1f7bd
599,599,0,0,1f7bd
600,600,0,0,1f7bd
601,601,0,0,1f7bd
602,602,0,0,1f7bd
603,603,0,0,1f7bd
604,604,0,0,1f7bd
605,605,0,0,1f7bd
606,606,0,0,1f7bd
607,607,0,0,1f7bd
608,608,0,0,1f7bd
609,609,0,0,1f7bd
610,610,0,0,1f7bd
611,611,0,0,1f7bd
612,612,0,0,1f7bd
613,613,0,1,1f7bd
614,614,0,1,1f7bd
615,615,0,1,1f7bd
616,616,0,1,1f7bd
617,617,0,0,1f7bd
618,618,0,0,1f7bd
619,619,0,0,1f7bd
620,620,0,0,1f7bd
621,621,0,0,3ffff
622,622,0,0,3ffff
623,623,0,0,3ffff
624,624,0,0,3ffff
625,625,0,0,3ffff
626,626,0,0,3ffff
627,627,0,0,3ffff
628,628,0,0,3ffff
629,629,0,0,3ffff
630,630,0,0,3ffff
631,631,0,0,3ffff
632,632,0,0,3ffff
633,633,0,0,3ffff
634,634,0,0,3ffff
635,635,0,0,3ffff
636,636,0,0,3ffff
637,637,0,0,3ffff
638,638,0,0,3ffff
639,639,0,0,3ffff
640,640,0,0,3fffe
641,641,0,0,3fffc
642,642,0,0,3fffc
643,643,0,0,3fff8
644,644,0,0,3fff1
645,645,0,0,3ffe3
646,646,0,0,3ffe6
647,647,0,0,3ffc6
648,648,0,0,3ff8c
649,649,0,0,3ff18
650,650,0,0,3fe31
651,651,0,0,3fe72
652,652,0,0,3fc62
653,653,0,0,3f8c5
654,654,0,0,3f18b
655,655,0,0,3e317
